part_id,show,part_number,part_brand,subcategory,part_image,watts_power,voltage,shape,min_dimension,max_dimension,probe_length,probe_diameter,lead_length,ingress_protection,certifications,nema_rating
22405568-A0AE-48CB-97D3-F47D0EC77BAB,,HTR02380,TRANE,,,,,,,,,,,,,
226FEF00-B886-4855-BEEC-77850890A3C4,,HT32CH210,CARRIER,,,,,,,,,,,,,
22932446-E378-4DBE-8B34-83A4D37CDC65,,HTR00126,TRANE,,,,,,,,,,,,,
22A4F5F6-5FBB-4659-AD78-86C353A5BE4C,,HTR00077,TRANE,,,,,,,,,,,,,
22EBAEE5-0B7A-40FC-A4BC-6E6E896B7CB9,,1185012,HEIL,,,,,,,,,,,,,
2300EF92-7FFC-44DA-9B99-DBB002F72219,,S1-02517009000,YORK UPG,,,,,,,,,,,,,
231A2181-9FA3-4DA2-8F5A-FB8B3BDE92A5,,8604-5546,WEATHERKING,,,,,,,,,,,,,
23384571-B142-4970-A992-131FDA7386FA,,1950470,HEIL,,,,,,,,,,,,,
236AF28B-2DBE-4017-8A09-6480DDB8EA34,,S1-02516151000,YORK UPG,,,,,,,,,,,,,
2376DF1F-17EF-4366-8EDF-F350B3EE7C65,,S1-02519840000,YORK UPG,,,,,,,,,,,,,
239B1E30-1587-4A18-BF52-285317950240,,0130L00018,GOODMAN,BAND CRANKCASE HEATER,,,,,,,,,,,,
23BADDC9-BB68-488F-84B5-D377164F8A51,,444051106,HEIL,,,,,,,,,,,,,
23C868D8-6A84-47EF-8429-84E80B985850,,38AQ660004,CARRIER,,,,,,,,,,,,,
2405656E-B27F-4970-9C69-DEE09B269102,,1440081,GOODMAN,,,,,,,,,,,,,
241B7056-B0DC-46CB-9BB8-07E3EBD3BA50,,HTR00219,TRANE,,,,,,,,,,,,,
2438E226-B8A7-4052-88D1-75D24908ACB7,,WW8X62,TRANE,,,,,,,,,,,,,
243FB93A-749B-4360-BAB7-56F6E7841FB6,,KAACH1001AAA,DAY & NIGHT,,,,,,,,,,,,,
24650F81-BE84-4B9E-8C2A-D36A84ED4F38,,1173705,HEIL,,,,,,,,,,,,,
24B137B6-81A6-4DFA-B4B3-275888DCF209,,HTR00365,TRANE,,,,,,,,,,,,,
24BC0449-466C-4627-A824-C180C55328CF,,HTR00102,TRANE,,,,,,,,,,,,,
250071E8-C1B9-4F25-967E-4D8E35F41175,,HTR00110,TRANE,,,,,,,,,,,,,
2539F428-5703-4CC4-9121-0985A8E63893,,7JA4496C,CARRIER,,,,,,,,,,,,,
254899F5-419C-44FE-AE88-68B379F47E01,,KAACH1301AAA,PAYNE,,,,,,,,,,,,,
255DEE00-BE2D-423B-B1E6-25DBE1A58244,,1175448,HEIL,,,,,,,,,,,,,
25828010-8C98-4097-BC75-93601CAA6E03,,HTR00173,TRANE,,,,,,,,,,,,,
260487A6-8A17-4098-9702-1A29156969AF,,2471805,CLIMATEMASTER,,,,,,,,,,,,,
262CBECC-5879-4F65-9101-C66AA59872DE,,0163R00022,DAIKIN,,,,,,,,,,,,,
268F6831-3C31-40F9-BC3B-9466F3CFA552,,50EG680001,CARRIER,,,,,,,,,,,,,
269403EB-2A87-46EC-8A0A-21019AB2F142,,HTR00153,TRANE,,,,,,,,,,,,,
26C9A9B3-628E-4785-86F0-D8337AF108A2,,HTR00421,TRANE,,,,,,,,,,,,,
26CD8433-A371-4887-8D9F-E795CED3469E,,99K46,LENNOX,,,,,,,,,,,,,
26CDC453-DA38-43DB-8A5F-1DD8AFA3D3D0,,HTR01552,TRANE,,,,,,,,,,,,,
276B6AA0-656B-4B13-A849-406F24A0FA70,,202403100155,CARRIER,,,,,,,,,,,,,
27776D6B-2D68-458C-866E-3E23FD6C7D60,,8A4079,MCQUAY,,,,,,,,,,,,,
27963B9D-B6BF-4E05-B6DD-D0051B78F545,,CTR01298,TRANE,,,,,,,,,,,,,
27DA540A-21A9-4965-BD47-0703099426EB,,CPCRKHTR008A00,CARRIER,,,,,,,,,,,,,
2808758C-E1F7-4310-B66D-7C56FDAD2BF9,,25M07,ALLIED,,,,,,,,,,,,,
280BFBEE-CC8B-4DC0-86C9-68FB18BF7D25,,S1-02515953000,YORK UPG,,,,,,,,,,,,,
281B901B-B7FC-403C-94BE-0083C8861337,,0163L00173,DAIKIN,,,,,,,,,,,,,
2832D47D-054F-467A-B16D-AF924A18AA45,,17402001000603,CARRIER,,,,,,,,,,,,,
2839443C-72F9-4E46-99A2-53D66F915405,,S1-02547300000,YORK UPG,,,,,,,,,,,,,
283A424D-85CE-4085-BDC5-C485A9170B86,,HTR00244,TRANE,,,,,,,,,,,,,
2852BE57-4B2A-4C4C-86F9-3E3797AA0A1B,,HT32CH229,CARRIER,,,,,,,,,,,,,
2867E620-4F07-459E-81D8-51C75BD45A0C,,HTR00078,TRANE,,,,,,,,,,,,,
287C3940-2033-4F21-8A89-2E664FE5FC8D,,KAACH1001AAA,BRYANT,,,,,,,,,,,,,
28B2CD16-85DB-4AD8-9C89-C4613C7A6396,,S1-02533474575,YORK UPG,,,,,,,,,,,,,
28DD31E9-A19C-4A05-B89F-F42312AC1034,,HT32BH852,CARRIER,,,,,,,,,,,,,
28E36DB3-AE02-41EF-B63D-DD3D8F85EE07,,P041-4443,CARRIER,,,,,,,,,,,,,
28F70FE8-CEED-4A65-8DD1-BA9BDA6E2C8C,,44-41625-03,WEATHERKING,,,,,,,,,,,,,
293D8026-4197-4AAB-9239-631B8F6D8228,,44-17402-24,MCQUAY,,,,,,,,,,,,,
29536DDE-9296-41DB-9489-FFD5EED0D43D,,S1-02530278701,YORK UPG,,,,,,,,,,,,,
2957E7E3-5BE8-41CA-965F-722C56DF0614,,25M08,ALLIED,,,,,,,,,,,,,
