part_id,show,part_number,part_brand,subcategory,part_image,microfarads,voltage,shape,tolerance,operating_temperature,depth,height,width,ingress_protection,certifications,nema_rating,part_number_correction,notes
036C6756-C965-45D1-8B6F-F33F8A659EF5,1,T2W416350,MITSUBISHI,RUN CAPACITOR,,5,250,,,,,,,,,,,
036C9A28-0E24-448F-B9D0-EB0036BBF779,1,S1-02525390000,YORK UPG,START CAPACITOR,,,,,,,,,,,,,,
0374C6D4-543D-4108-AD37-A48C142623B1,1,P291-2513,CARRIER,DUAL CAPACITOR,,25/10,370,Oval,,,,5.3,,,,,,
03777F36-3381-4EFD-B85B-E4C111603725,1,68537617,FRIEDRICH,,,,,,,,,,,,,,,
037F0375-2891-44D0-95A5-A9B80369DDF6,1,8552-076,BARD,DUAL CAPACITOR,,85/5,370,Round,,,,,,,,,,
038D1FF5-F4D0-4327-889A-F5EF70141CE0,1,43-20848-05,RHEEM,RUN CAPACITOR,,,,,,,,,,,,,,
03A33B6A-7E18-4BFC-A730-05B39A54A3B5,1,S1-02416562000,YORK UPG,START CAPACITOR,,,,,,,,,,,,,,
03A4F646-7744-4146-8F6C-68442760E2A0,1,P291-1253,CARRIER,RUN CAPACITOR,,,,,,,,,,,,,,
03B4DE83-E5FB-4991-859E-4455D86AA849,1,48SB400201,CARRIER,,,,,,,,,,,,,,,
03BB4DD9-0FDA-4C3C-A826-5AD5C5BF11CA,1,1149382,HEIL,DUAL CAPACITOR,,233-280,125,Round,,,,,,,,,,
03D4C661-E2E6-484C-8A93-FF2048A70289,1,5303291523,FRIGIDAIRE,,,,,,,,,,,,,,,
03D5DC51-B37A-4FB6-AFAC-8F46882FC328,1,852949,COLDSPOT,RUN CAPACITOR,,,,,,,,,,,,,,
03D7B18B-23BC-47E7-84B9-364EAC78FCCC,1,1201912,ICP,,,,,,,,,,,,,,,
03DB5C9C-C4F1-4B4C-9FFC-54D34BA46187,1,49C05,LENNOX,,,,,,,,,,,,,,,
03E5E3E2-5CB9-42F7-B6F0-364C2CC533C2,1,E02A50350,MITSUBISHI,RUN CAPACITOR,,9.5,250,,,,,,,,,,,
03F077D4-2272-47FC-812D-26FCFB2FBC3F,1,9700468172,FUJITSU,RUN CAPACITOR,,6.5,200,,,,,,,,,,,
03F4AEED-7EE4-491A-A54C-8FA9F96E5E75,1,68537607,FRIEDRICH,,,,,,,,,,,,,,,
0403E407-CD08-4CA6-A117-4E4A5A8F0056,1,P281-4306,BRYANT,START CAPACITOR,,,,,,,,,,,,,,
0409B28D-6CB8-4539-85C7-BE2AA92525B8,1,HC91DA020,CARRIER,RUN CAPACITOR,,,,,,,,,,,,,,
040AF332-B09F-45D2-9719-566E16DEE488,1,R0101701,AMANA,OTHER,,,,,,,,,,,,,,
04104735-EF51-4980-BDBA-BB81A8813BCC,1,3012042,GIBSON,,,,,,,,,,,,,,,
04158FE2-A822-4C20-91EE-53BDA7635928,1,037516403,MCQUAY,RUN CAPACITOR,,5,440,Oval,-0.06,,,,,,,,,
0418030C-FE8F-4BAD-8DDD-7A6BBCFE2BF7,1,876599,WHIRLPOOL,DUAL CAPACITOR,,45/15,,,,,,,,,,,,
04197849-B99A-4D6C-9091-30C352FE86DA,1,S1-02425191000,YORK UPG,START CAPACITOR,,,,,,,,,,,,,,
041BD315-EA31-40F8-8A17-A7D209623894,1,00PSG000000200,CARRIER,,,,,,,,,,,,,,,
04227357-11E9-4DE9-9245-ED59E5FB6DFB,1,CPT01168,AMERICAN STANDARD,DUAL CAPACITOR,,,,,,,,,,,,,,
04288CD6-C4A1-4F26-98E5-FD7C6C01FD14,1,CAP125800370RTS,GOODMAN,DUAL CAPACITOR ,,,,,,,,,,,,,,
042E1450-1669-4B1C-9901-F039D97F18AE,1,P291-3553,CARRIER,RUN CAPACITOR,,,,,,,,,,,,,,
04382A55-B87C-4E58-B71F-B63A246076CA,1,S1-02807364900,YORK UPG,,,,,,,,,,,,,,,
043C4D7C-7558-4256-94AA-E83B0EA24662,1,1605-00670-023,FEDDERS,,,,,,,,,,,,,,,
043FB87A-35B2-41B1-A6D6-66CC49709B05,1,T2W708350,MITSUBISHI,RUN CAPACITOR,,3,440,,,,,,,,,,,
044454E3-74F2-4C92-97D3-5807509F0C1C,1,CAP050300450CS,AMANA,DUAL CAPACITOR,,30/5,450,Round,,,,,,,,,,
044D01A5-0CF7-45AD-B94E-18B6496CBBC8,1,HC96JC110,CARRIER,,,,,,,,,,,,,,,
045B0188-8AD4-4872-B6E3-0A19C6DB8DC3,1,1605-720-37,MARTA AMERICAN,,,,,,,,,,,,,,,
045DEEE3-946E-47FE-861E-304A43C730F1,1,43-20847-27,RHEEM,,,,,,,,,,,,,,,
045FE27D-E0CE-411A-93FF-D323867644C6,1,L1I005,CARRIER,RUN CAPACITOR,,5,370,,,,,,,,,,,
04602121-C4F9-4476-A967-1E9F32884824,1,100463-06,LENNOX,,,,,,,,,,,,,,,
046CEBD2-A8A7-4B6E-8449-F9FA396D6ACD,1,G508501-13,KELVINATOR,,,,,,,,,,,,,,,
047AC1F3-5E32-4489-ABBC-32268BF56F99,1,1171982,HEIL,,,,,,,,,,,,,,,
04810A6E-EB4F-498D-AB78-3DE5357062A3,1,HN91DA010,CARRIER,,,,,,,,,,,,,,,
048CC68C-4483-43AB-9A84-BCD6D46A5B9B,1,27765,ROSS-TEMP,RUN CAPACITOR,,,,,,,,,,,,,,
04944178-57A3-4BB6-95FB-0D3D6B33EFF2,1,CPT00091,TRANE,DUAL CAPACITOR,,,,,,,,,,,,,,
04944ACB-F80B-4971-97BC-11AEADDE73B4,1,CAP100700440CT,GOODMAN,DUAL CAPACITOR,,70/10,440,Round,,,,,,,,,,
0494C722-BF89-4900-97F6-3F1CF4C28765,1,S1-DL330100002,YORK UPG,,,,,,,,,,,,,,,
049E014D-D700-458C-A89A-D090BEA2C9AA,1,S1-02419328000,YORK UPG,RUN CAPACITOR,,,,,,,,,,,,,,
04A4B04D-B493-4BB9-8C76-AA6F4160B5A4,1,WJ20X712,GE,DUAL CAPACITOR,,,,,,,,,,,,,,
04A6DA39-E3D0-4908-900B-B2C102B30312,1,S1-02421511002,YORK UPG,DUAL CAPACITOR,,,,,,,,,,,,,,
04B1F5C7-1E69-465E-8933-18FBE32B8559,1,WG20X109,TRANE,,,,,,,,,,,,,,,
04BC4819-3924-4754-9EF3-DF28F7A842F5,1,106-0032,YORK UPG,,,,,,,,,,,,,,,
04BCA1C9-B92F-427F-8EB5-2B60A97B2AF8,1,100335-46,LENNOX,DUAL CAPACITOR,,,,,,,,,,,,,,
04C37818-4B24-497B-9E2C-C823CE9A94CB,1,330801-702,CARRIER,,,,,,,,,,,,,,,
04C9B9FB-9F32-45BC-9969-F5213BA11E6E,1,69H89,LENNOX,,,,,,,,,,,,,,,
04C9CF4F-A3C5-48B9-8D11-4140E0D77E17,1,43-101666-58,RUUD,RUN CAPACITOR,,5,370,Round,-0.06,70C,,,,,,,,
04CA4871-BFF3-4B30-A540-9434857F955B,1,CPT00416,TRANE,DUAL CAPACITOR,,25/5,370,,,,4.4,4.2,4.3,,,,,
04D6E149-B6AB-4F43-B7AA-AF2494FBAED0,1,1052664,HEIL,,,,,,,,,,,,,,,
04D71AED-BD3E-4AD6-ADC7-AFB972D1F05D,1,1605-00720-121,ICP,,,,,,,,,,,,,,,
04EA32CD-3164-4EC9-9A20-599FEC302F04,1,43-25133-38,RUUD,DUAL CAPACITOR,,50/7.5,370,Round,-0.06,70C,,,,,,,,
04F0CAB9-0B97-43EF-983D-7F62595CBBAB,1,5303203746,CARRIER,,,,,,,,,,,,,,,
04F3D415-C78B-4E7F-B8C6-E9F1E50CDF29,1,1605-720-11,MARTA AMERICAN,DUAL CAPACITOR,,,,,,,,,,,,,,
04FF90AA-D9DF-431B-A133-D43C4CB0A46A,1,HC98CA037,CARRIER,,,,,,,,,,,,,,,
05007E03-63C1-47DF-9CEF-05206BAAF63C,1,P281-1460,BRYANT,START CAPACITOR,,,,,,,,,,,,,,
05064FC5-3964-4D3E-B831-74D8A260CC71,1,D6789036,AMANA,,,,,,,,,,,,,,,
05067070-AFDE-4735-B175-4D7A4E3E9801,1,CPT00676,TRANE,DUAL CAPACITOR,,,,,,,,,,,,,,
05075E25-50BC-4149-9B11-2247D641DC31,1,50321,,,,,,,,,,,,,,,,
050D5AAB-B71B-411E-A672-74D75B152927,1,WJ20X425,GE,,,,,,,,,,,,,,,
050EAC15-4EA0-43B2-A1E3-EDA54C421CF5,1,3300002233,SEA BREEZE,,,,,,,,,,,,,,,
050F0F95-9AE9-4467-A860-DCED75813C9F,1,24280825,CARRIER,,,,,,,,,,,,,,,
0510A097-8A25-4BB9-A085-EBC4807B2947,1,1491553,DAIKIN,,,,,,,,,,,,,,,
0512451C-BB4C-4487-837A-3FAF6AA3433D,1,CPT00560,TRANE,,,,,,,,,,,,,,,
0512B17C-9C65-45FC-A170-7D39B8EA6502,1,8950087,FRIGIDAIRE,,,,,,,,,,,,,,,
05238120-3455-4459-8652-ED7923437EB3,1,33010002,CARRIER,,,,,,,,,,,,,,,
05257C49-79D8-41CD-B521-3BC96854BAA3,1,STD377312,GOODMAN,RUN CAPACITOR,,,,,,,,,,,,,,
05291CA2-11F9-4645-9DCA-EA5CEB74D83C,1,1070060,HEIL,,,,,,,,,,,,,,,
05391AD1-C5B6-4BB2-9056-87BEBC74B341,1,43-26261-26,RHEEM,DUAL CAPACITOR,,,,,,,,,,,,,,
0539ED03-36B6-432E-B68F-AD645EA3EEA3,1,5304471077,CARRIER,,,,,,,,,,,,,,,
05485D0F-4829-44D9-943B-FCDA970868AC,1,1149252,HEIL,,,,,,,,,,,,,,,
054FFDA7-1C7A-4F5C-99B2-1B5E4FB2181D,1,S1-02425219000,YORK UPG,START CAPACITOR,,,,,,,,,,,,,,
0551DA26-4256-4BAA-A368-0811B505D394,1,CPT00185,TRANE,RUN CAPACITOR,,45,480,,,,,,,,,,,
05541696-3A99-41E6-A25E-E7781F7BD672,1,100335-15,LENNOX,DUAL CAPACITOR,,,,,,,,,,,,,,
055CCE43-91AC-417D-B32F-269E7A3FB953,1,1086637,HEIL,,,,,,,,,,,,,,,
055E3634-FA5C-44C3-BC71-84D73B395DB2,1,751816,SEARS,,,,,,,,,,,,,,,
055F00EB-440D-4791-8EE6-54921E3D9887,1,CAP250000370VC,GOODMAN,RUN CAPACITOR,,,,,,,,,,,,,,
05621E49-3259-4171-B111-7F898A0D66B4,1,S1-02426064000,YORK UPG,RUN CAPACITOR,,,,,,,,,,,,,,
05733B2A-564C-46EF-A1CC-E1EA1367FDCF,1,100189,ADC,,,,,,,,,,,,,,,
05768623-CE47-45C4-8A0B-859F85213A30,1,D6711807,AMANA,DUAL CAPACITOR,,,,,,,,,,,,,,
0583885F-346B-4CFF-B837-942AAEE293B0,1,1200620,HEIL,,,,,,,,,,,,,,,
