part_id,show,part_number,part_brand,subcategory,part_image,rated_refrigerant,oil_type,nominal_capacity_tons,nominal_capacity_BTUH,voltage,ph,hz,run_capacitor,start_capacitor,connection_type,suction_inlet_diameter,discharge_diameter,number_of_cylinders,number_of_unloaders,crankcase_heater,protection,speed,EER,displacement,nominal_hp,nominal_power_watts,fla,lra,rpm,compressor_length,compressor_width,compressor_height,ingress_protection,certifications,nema_rating
E816FEE0-E301-45FB-B538-3B9393BB6964,,1602-30650-025,FEDDERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E81E81C8-5DF2-46A3-BD02-EB104CB3F799,,48TM400614,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E820D1E9-CBAC-4568-9C15-EA91FA512191,,48TM402623,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E82182D7-6DD5-4385-94A8-4F757B557F6E,,06E6565300,CARRIER,SEMI-HERMETIC RECIP COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E821C33B-C2D9-43CB-A6F8-E6DEC049D10F,,COM03926,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8231C8E-F4A4-429A-89D7-AAA61BF07B72,,LA484650-1530,MOVINCOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E823F2A7-D048-4963-9A35-970B372D33B9,,D6926114,AMANA,ROTARY COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E82552E8-E234-4743-AD00-7D91CDB04AB7,,38SY669301,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E825DC6C-4446-4F6B-9114-4E8CD68C0E25,,ZP127KCE-TF5,COPELAND,SCROLL COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E82B97BB-843A-4D63-A94F-94649AEC724E,,P-8-9747,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E82B9ED6-B386-4A17-8FF9-AACD865A5426,,ZS21K4E-TFD,COPELAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E82CB8CC-8C97-43FC-90E0-79B3974BAA94,,1220834,ARCOAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E82ECE97-462F-4E6C-9EC3-1C867B78FB1F,,42L92,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E834F301-A449-4899-8FC5-857DDF8C5F19,,42L93,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E8367533-C04C-43A5-B720-A2ED7170D222,,8000-709,HEAT CONTROLLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E83BA165-E341-4E5B-AFC8-3A805F9707AD,,1059518,SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E83FE6CC-1077-4845-910E-846F1D4FDCFF,,6675-2H008-64A,FEDDERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E83FF230-558C-44DC-8B0E-5D0CB8F66637,,1172274,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
