part_id,show,part_number,part_brand,subcategory,part_image,type_of_gas,stages,capacity,outlet_orientation,reducer_bushing,inlet_size,outlet_size_type,pilot_outlet_size,factory_settings,max_inlet_pressure,min_adjustable_setting,max_adjustable_setting,terminal_type,electrical_rating,side_outlet_size_type,gas_cock_dial_markings,ambient_temperature,amp_rating,capillary_length,standard_dial,remote_dial,temperature_range,height,length,width,ingress_protection,certifications,nema_rating
092DFE5F-6121-4B7A-9E5C-82B04F741225,,511-044-218,WEIL-MCLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094039C3-C00B-4AEC-AEA8-9D2065ADB8CA,,S1-7656-3561,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0950022C-8404-4A07-B3CF-4EE3E9A38BAA,,P-3-1267,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095488A0-C623-4366-BBEC-75F1D33D9320,,L98065-02,DESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0961EC4A-482D-4080-94EB-AEF7D83FD483,,B110406-G2,PERFECTION INDUSTRIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0986D16E-76D8-4C84-8014-B095B88AF956,,AS-60905-02,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099410BE-AE8B-4426-9835-D05AC6A3A623,,VR800A1152,WEIL-MCLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09B16A64-EF77-4DDE-9B7D-430F7032042A,,1000045,SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09F608B0-3057-441B-BD86-01D00630D64C,,EF33CB271,BRYANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09FC1535-F04D-48C1-9C5F-75C647559F5C,,207087-02,ARCOAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A115FA1-E2EE-44FD-B627-8832795800F8,,VAL07049,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A2024F5-B380-47F3-9599-170EDEB498D5,,3020006,CALCANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A52C553-8103-46D4-8881-EBF2BC7C97FB,,88K89,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A59CACD-7B05-4D51-BC55-585B95512CBE,,S1-2735-3271,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A5DA523-36D3-4E62-BE83-35598ACDA938,,WG19X200,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A7857D1-DD19-4E55-A7A7-D1D0DC2E036C,,P361-2201,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AA5A9BA-658F-4A75-BDCC-B94459CF003D,,1380570,COMFORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AB4BEBF-7979-4FBA-8C59-17C28C2A3B08,,V162,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AB55E02-4D5B-47A4-8990-D2D26C1AEB4B,,511-044-355,WEIL-MCLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ABA3048-F095-4D33-BB0C-DF320F26B4A1,,VAL08027,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AC43570-256B-479E-AB40-6BA2C8746AE8,,L98065-01,DESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AD83074-9556-4953-AC20-1F56CC4B1975,,VAL05785,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0AF7DA74-4E35-4891-B63D-93A4F1B750EE,,J28R6893-2,STERLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B2A1E36-E301-47A4-A4C2-D8D056CA000E,,R68GF0006,MORTEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B528A7F-902B-4052-A166-0EA0F0009110,,54G28,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B59CE74-8BF5-4560-BE2A-D892BE24836C,,S1-02527660000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B5B5020-0084-4039-A8E4-32F05ADB6811,,99225,CARLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
