part_id,show,part_number,part_brand,subcategory,part_image,diameter,number_of_blades,pitch,bore,rotation,rpm,cfm,bhp,material,ingress_protection,certifications,nema_rating
0A57943F-9ACC-4C72-94B0-BC5A7E066C00,1,100060-07,AIREASE,,,,,,,,,,,,,,
0A5B4478-DD33-47BF-B5F8-3EAEDF84765D,1,FAN02156,TRANE,,,,,,,,,,,,,,
0A6232BB-8DA8-4FC1-BE0C-A49ED748193A,1,646247,WHIRLPOOL,,,,,,,,,,,,,,
0A6D35FE-D99A-46DE-A5AC-200EED5B3B7E,1,B1086769,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
0A71179F-719F-46F4-AE37-3D9187AD232C,1,P-8-11098,ALLIED,,,,,,,,,,,,,,
0A92CFB6-C602-441B-9A91-51D0DE30383F,1,997884,WHIRLPOOL,,,,,,,,,,,,,,
0AA588E7-F385-4C9D-AE93-D6963EF2FF0D,1,7009458,DAIKIN,,,,,,,,,,,,,,
0AAE361C-3401-42B4-8200-F7424E43E262,1,S1-02626314000,YORK UPG,,,,,,,,,,,,,,
0B0015AC-DD0A-4F2A-82C0-57242D48E463,1,1040158,BALLY,,,,,,,,,,,,,,
0B04A9E8-C2A7-4095-BB98-6B5871E75275,1,FAN01483,TRANE,,,,,,,,,,,,,,
0B083559-E075-4891-8792-B8EEBCAB7ECD,1,2455003,EMBRACO,,,,,,,,,,,,,,
0B136B83-5635-422C-89DA-88513343AA40,1,J34R06999-114,STERLING,,,,,,,,,,,,,,
0B220F04-C6B1-4DFA-B74D-57CB63CC0B02,1,7173405,CHANDLER,,,,,,,,,,,,,,
0B38F8D2-4BAB-4A36-90FF-5671B402311F,1,R1000861,AMANA,CONDENSER FAN BLADE,,,,,,,,,,,,,
0B59CA38-DED9-4C27-90F5-7BCD28578D28,1,FAN00661,TRANE,,,,,,,,,,,,,,
0B6BAEAE-95BF-4636-9DBB-C8A47E19A00E,1,70-21848-05,RUUD,,,,,,,,,,,,,,
0B6E895C-35E2-4D43-9B17-9C37BD42ECA9,1,LA01NA030,CARRIER,,,,,,,,,,,,,,
0B853F15-C8C4-4F41-9A10-9085BB00789F,1,980837,SEARS,,,,,,,,,,,,,,
