part_id,show,part_number,part_brand,subcategory,part_image,application,gas_type,voltage,terminal_TYPE,mounting,tip_style,ceramic_block,pilot_btu,orifice_diameter,pilot_tube_length,lead_length,sensor_type,steady_current,temp_rating,time_to_temp,amperage,cold_resistance,max_current,compression_fitting_diameter,probe_length,rod_angle,length,height,width,ingress_protection,certifications,nema_rating
147B8E2B-D110-45CB-BBAF-4CCD9015F0FA,,108298-G1,PERFECTION INDUSTRIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14A09414-4D95-4724-9AC8-40190E91AFDB,,62-21613-01,WEATHERKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14DCA600-2329-4BBD-BC1A-66E10139E760,,732096,EMPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14E2ADED-5D98-430B-9E1B-B705DD469A0D,,704-2600,GLOW CORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14FF39E6-4541-470D-A3CE-D928CF6255C7,,LH31CM009,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15031855-DE0A-42AA-A359-AED3820C9C32,,76714900,ADP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155345EC-477A-4381-983D-E6E352295920,,62-21002-01,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156F03C0-E09D-400F-87C3-E9468A5FB3B3,,PLT2702,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15880497-0058-4D65-9D60-11FEDED08370,,R0198246,AMANA,DIRECT SPARK IGNIGHTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158A7D5A-F5A1-45EC-BC2D-C6BA47F3B81A,,1148245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630A911-38A4-44A7-A24E-03C72E4BB2F3,,M7510,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165DCE22-80C0-4F51-A6E2-DABA0895C102,,S1-36384544000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168377A6-AA46-4D5C-8C06-C131D58A78B6,,1004619,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169E371D-F1CA-4180-B44D-1367AAE298F9,,550002068,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16C6B9CD-1372-455A-AFDD-DE3FC502C4D5,,BM-6754,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16F5478F-48D2-493B-80D7-D26EC8CA341C,,LH31RC010,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702559A-1EBF-40F4-B93A-DEFD2A4344C4,,41K56,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751007A-792C-43D8-9F57-C4EAE25131E7,,96012,REZNOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177D48D2-21E5-4AC0-9D48-59E9A0BA8E64,,309433-247,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178F56EB-4F7B-489A-A888-F0AEEF3C0931,,M-7580,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17B3DC26-59A9-402D-B385-ADA7DA861B09,,PIT00113,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860E45E-0267-44F1-8151-AB31B7ACE822,,K0S4550X06AX,DESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18682569-CD78-4B72-A579-615488365AC2,,LH31CM300,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876CF18-70DA-4749-8555-57537B808E47,,506-510A,HEAT & GLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18DB69AD-4BA0-4344-B679-5891D5DB37AB,,ING00026,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18E02809-717C-40E2-B19A-91A5AC201BAA,,PLT2400,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18E7CB60-2194-41B8-9444-5CCFF2E2E586,,T6-2109,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190F67E6-17CB-4D75-AE10-6F7F88C6A5BE,,919000-1000,GORDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194902EC-A40E-4BB8-A62C-EDA349090F28,,910-3518,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979E78F-8157-4F8F-9F11-F6C1ACD93901,,87181050510,BOSCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19D20D20-6F6E-4FEF-BB89-686FB1B63549,,K0S4550X06AX,CHARMGLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1CAD14-E2D9-4811-BB92-0D7DB9955FBA,,LH41WD010,BRYANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A264EFB-D629-4781-8C1D-4CE7DC1A9186,,62391-002,WAYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A40F478-53A9-43A5-840A-50CE047465D2,,80K09,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
