part_id,show,part_number,part_brand,subcategory,part_image,rated_refrigerant,nominal_capacity,inlet_diameter,inlet_connection_type,outlet_diameter,outlet_connection_type,equalizer,external_equalizer_connection,bidirectional,adjustable,configuration,supply_voltage,motor_type,control_steps,step_rate,orfice_size,capillary_tube_length,number_of_headers,spring_type,check_valve,hermetic,balanced_port,applications,element_size,body_type,thermostatic_charge,mesh_strainer,max_operating_pressures,max_differential_pressure_drop,ambient_temperature,refrigerant_temperature,current,drive_frequency,phase_resistance,compatible_oils,cable_type,max_power_input,step_angle,resolution,connections,closing_steps,minimum_steps,hold_current,percent_duty,stroke,max_internal_leakage,max_external_leakage,ingress_protection,certifications,nema_rating
0142205A-8E9F-496B-9D2A-C7EDA27D21D1,,24196802,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0144ECEE-7410-479D-A40F-23F8592CD45E,,R0173027,AMANA,CAPILLARY TUBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01470B27-F803-4669-8DF7-BD6438BFC132,,50169213,CLIMATEMASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014A5430-45E9-41D8-AE98-3A4C4AC3BB35,,EA36YD203,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0153F1C8-7F62-4251-B6FB-9721D3580BFC,,P810-0055(40\"),CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0156F94B-8D8A-43AE-B97C-59E752D3F7BA,,TUB01604,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0157EB08-14DF-4C6A-A966-267346662F59,,10831201,AMANA,CAPILLARY TUBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015BA569-15A8-43DC-A30A-E0B6C69C8EE7,,52CE400491,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015F5841-0B52-461D-AB9C-44757CBA8F13,,61-101351-11,MCQUAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016022C8-439C-4674-9AFC-34A65D35B503,,37570B018,ARMSTRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016435B3-9977-4FC2-A871-ADC4C7241540,,S002C0002020,FEDDERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01661E2B-B76A-41E4-8769-ED856DC41EBD,,4948A10007A,SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016A7457-5469-4841-818D-6173A1AC7B38,,WJ78X237,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01726E57-5C48-464B-9389-0B0084E61C91,,28GS502743,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0175A2B9-3C0A-4413-9227-6A414CF0BFDC,,S1-9551-1821,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017CDD95-3B2C-4FCE-A730-3EC66B202BA7,,03700200528,GREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0180E775-09C6-4944-B25E-AE5D8E817F28,,EA52PH0067,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01810F25-D767-4A1C-AA3E-F5CC2EDD0484,,VAL02210,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0181DE9E-A848-4D0E-9462-9BFD15183233,,39L72,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018AA5B8-A9B4-4A1D-9907-21589C6E9523,,T2W500936,MITSUBISHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018DE791-8A51-45F1-869C-3453F6872764,,61-23406-59,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018F7ABF-8EBC-4AC3-9DC5-32AB4FA0AD54,,61-22119-42,WEATHERKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018F7E5F-7DFE-4B7F-8FEE-3BE0C4B08995,,61-102437-01,THERMAL ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018F9202-1311-41EB-BC4F-38194BC5E617,,33P619-13,GEOSTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019C5CBF-13A7-4E06-8B9C-C56C7DDC5C81,,P86-2.3MM,EMPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01A28955-152E-4B6D-A9DA-498180A9834E,,S1-02206855001,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01AA0FFF-7C77-445C-A738-3D147BA8082A,,61-100141-10,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01B3D7C6-9672-4BE3-8D22-61989978A701,,61-25414-15,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01B7433D-2C2A-4985-B668-D1ED0EC1394F,,S1-DL4104239,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01B84B12-ED8F-4460-8C83-ACF8EF83D29E,,R1081,EMPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01BFED72-4400-433C-98EF-96B852FB6858,,RSR00059,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01C332DA-A270-4632-A42F-97C57E3ADA5E,,8-6-6995D,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01C36C6A-4BB8-43CE-AF6D-FDF28E0BE868,,VAL08681,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01C5DD7F-E962-45F9-8849-153B0F6D0DB0,,WG16X126,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01C9F1FD-735F-43DD-91FA-E720A1AC258D,,40RU400002,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01D9E630-3A9B-455C-B8DA-54977DAFD4AA,,1821433,GOODMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01DB6C80-6CCA-437B-810F-35FAA15B1432,,31253270801,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
