part_id,show,part_number,part_brand,subcategory,part_image,fused,ingress_protection,certifications,nema_rating
024E0498-2E69-462B-92FA-27CB76E92721,,50DW411155,CARRIER,,,,,,
0250FAA0-699C-473A-8367-2DCCDB37A922,,47-21776-01,RHEEM,,,,,,
02517E92-CF2C-4A68-8CB5-9B9CB99425B5,,CPN00751,AMERICAN STANDARD,,,,,,
025219ED-86A5-4923-8444-3659AABA25E3,,HK61EA002,CARRIER,,,,,,
025417AB-CE52-40C0-AC86-AA959F18D89F,,543001200,GOODMAN,MAIN CONTROL BOARD,,,,,
02599687-F766-4CB7-ABF1-6C886DFBAA3C,,30GX503191,CARRIER,,,,,,
02645656-C3F2-4430-ABF9-A8521E154733,,CNT01596,TRANE,,,,,,
026AC813-DBFA-425F-8A3D-649BED24E4BF,,30565002,SEA BREEZE,,,,,,
0277E647-79E2-40C4-8A79-F195BD40F6D0,,S1-32432014075,YORK UPG,,,,,,
027AF50F-0317-4661-B1CE-3D865BD4B575,,R01AX3350,MITSUBISHI,,,,,,
02840852-A03F-4FA1-B501-EB5B37E5A3A4,,67203703,FRIEDRICH,,,,,,
02879CF0-D4E8-4629-B686-80D945BE9E4C,,S1-03100880002,YORK UPG,,,,,,
028AAD9D-BA8C-43BB-AF71-72D350CBF2B7,,ETM-2024,CARRIER,,,,,,
0290DA76-E313-4839-A022-4621F88BB2C5,,98G82,LENNOX,,,,,,
02920A41-E158-47A3-ABE8-300AF4DDAD72,,0130P00000P,GOODMAN,MAIN CONTROL BOARD,,,,,
0295ED3A-70E9-4CCB-856F-38657501B910,,SK-R9-PINT2-CF7D,CARRIER,,,,,,
029982AC-960A-43CB-AE84-8AC91C09D353,,WP29X22,GE,,,,,,
029E35E9-315E-4E46-BF67-EBD09A5C1CEC,,38AP400609,CARRIER,,,,,,
02A1775A-F6E0-434A-BE45-FDB1B5EB117E,,43T69906,CARRIER,,,,,,
02AA9654-2D18-4C64-B06C-1145F57A7147,,9708488011,FUJITSU,,,,,,
02ACA7F3-4C8F-4748-A443-9D3C36E632EC,,8201-081,BARD,,,,,,
02AEDB64-F110-49CD-9086-58D1A3F29303,,30GX405169,CARRIER,ECM MODULE,,,,,
02B6E00E-156B-4A5F-9454-81F2341B4F72,,30GX406619,CARRIER,ECM MODULE,,,,,
02BAC586-268D-453C-806B-F93AEAB081D3,,RLY2402,LOCHINVAR,,,,,,
02BC2197-1A4B-4B44-A547-35417E001B6D,,S1-32436080234,YORK UPG,,,,,,
02BD29A8-0364-4121-AD4D-61F2426D2415,,17122000051899,CARRIER,,,,,,
02C0C2CD-509D-43C5-AF5F-2B234435E276,,MOD00823,TRANE,,,,,,
02C13A45-2E43-450B-97C6-D055033F85C5,,00EFN500037602A,CARRIER,,,,,,
